,Acousticness,Danceability,Duration_ms,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
44,0.0691,0.954,246325,0.578,01VvADRZqvXrHfwAKUOS8v,0.0,1,0.102,-7.094,1,0.316,127.061,4,0.26
45,0.89,0.272,161840,0.238,01z2fBGB8Hl3Jd3zXe4IXR,0.00925,2,0.275,-12.148,0,0.0349,83.507,4,0.119
46,0.314,0.702,211773,0.675,021SQLsbMUAJa8wGegpk6H,0.0,0,0.205,-5.424,1,0.122,91.969,4,0.8
47,0.199,0.637,203318,0.556,021txSheRym293iUdf6vPZ,0.138,1,0.1,-8.993,0,0.0534,77.118,4,0.348
48,0.164,0.599,222533,0.642,0247StOpd3AkeBQzANX4Zf,3.33e-05,0,0.0992,-6.936,1,0.0363,115.412,4,0.349
49,0.000713,0.542,372600,0.957,02atsU1ItiQY76ZccpTO2o,0.00185,9,0.124,-4.071,1,0.0459,128.002,4,0.677
50,0.0928,0.465,247182,0.672,02FqhZkG84NWqnNGUZzSmu,0.0,9,0.253,-3.87,0,0.0325,161.908,3,0.409
51,0.418,0.779,229907,0.51,02fxBtXc0qMXYrFP97YD8w,0.257,2,0.475,-14.278,1,0.039,104.414,4,0.722
52,0.342,0.572,237923,0.855,02fz78B6Mo1uso0Zl41XRv,3.61e-06,2,0.1,-6.213,0,0.386,139.554,4,0.597
53,0.124,0.789,255560,0.501,02hNDxtMMTpq72rdp1lm6v,0.0,6,0.169,-7.167,0,0.461,75.031,4,0.225
54,0.499,0.546,258504,0.494,02IJFWVjLSM811RsySQusA,0.0,2,0.108,-7.426,1,0.157,153.301,4,0.353
55,0.0108,0.628,227311,0.867,02ILwrgX3DDx9mclP2EI41,0.0,9,0.308,-3.555,1,0.0913,78.043,4,0.597
56,0.339,0.364,423410,0.516,02jXZfT8IjNmdrKbnHBq1J,0.287,2,0.105,-8.872,1,0.0347,117.635,4,0.128
57,0.00348,0.914,189600,0.624,02LZ1fGJE8fB56yTlCVMEV,0.00389,11,0.395,-6.112,0,0.0531,109.977,4,0.346
58,0.0372,0.731,220292,0.929,02oEsDGI2yAH8mffONoMfl,0.0,11,0.329,-4.773,0,0.0569,121.01,4,0.93
59,0.0063,0.539,274097,0.846,02q0ZnV2L4XByzEvWZJqBC,1.68e-06,8,0.13,-3.192,1,0.0354,106.992,4,0.46
60,0.893,0.39,136040,0.157,02TadnJNMcVjr4baY39H1p,0.937,3,0.256,-15.898,1,0.0412,109.964,5,0.571
61,0.501,0.836,174533,0.552,02TGXV8AG3TdfTiYEstWiQ,0.143,4,0.106,-11.111,1,0.0302,113.884,4,0.76
62,0.851,0.608,260004,0.174,02WacdrRpm4zlP8H7X6bnQ,1.92e-05,1,0.0855,-8.796,1,0.0332,112.175,4,0.193
63,0.0759,0.828,162953,0.465,02ZVfJAmh9an4YhKQW7S5u,0.0,4,0.104,-10.289,0,0.33,79.917,4,0.723
64,0.0842,0.647,212129,0.726,031QO44Ql8D7D3ePdI7fkg,0.0,11,0.111,-4.931,0,0.186,154.887,4,0.883
65,0.391,0.665,149320,0.488,0336UwEBwBBao8uWCuugYr,0.000647,0,0.0952,-4.711,0,0.327,151.582,4,0.549
66,0.00646,0.616,488441,0.811,0341MMlmVNkWqwtBVbTzYh,0.0,2,0.135,-4.453,1,0.22,85.147,4,0.494
67,0.0955,0.579,212830,0.814,036HGg6Bs7n15m99zcnPwZ,0.0,6,0.109,-6.984,1,0.42,139.904,4,0.735
68,0.0512,0.743,237160,0.671,038kavjqUaGIYZL5lYocvX,0.0,9,0.116,-5.241,1,0.122,163.229,4,0.499
69,0.0354,0.743,240200,0.928,03ardtIMjXvzW6UEMJxwmL,7.7e-05,1,0.103,-6.125,0,0.0764,115.988,4,0.869
70,0.926,0.564,65411,0.623,03BNPuzC2y91UJmxUeRiBf,1.38e-05,10,0.076,-3.906,1,0.103,177.928,4,0.669
71,0.0599,0.761,200095,0.83,03byp9FTV9zny4VzBG96DG,0.000998,7,0.0765,-5.283,1,0.035,98.996,4,0.592
72,0.00393,0.615,227265,0.858,03CbQgFxnBFoaaVJTfEqMD,0.0,0,0.0789,-3.3,1,0.0396,97.038,4,0.323
73,0.297,0.761,199147,0.904,03dpzC0a35H4Y4zf2zTWsr,0.0,0,0.279,-2.492,1,0.147,109.95,4,0.725
74,0.165,0.906,180500,0.597,03EcqaAMg58r10dgbl0o6y,2.94e-06,0,0.0775,-2.566,1,0.0764,124.008,4,0.967
75,0.000672,0.513,303911,0.775,03EuhmMsEHVFI9ytainStU,0.248,0,0.409,-7.202,0,0.0304,139.932,4,0.205
76,0.0832,0.51,226867,0.898,03fT3OHB9KyMtGMt2zwqCT,0.0,11,0.071,-3.15,1,0.0696,144.056,4,0.596
77,0.113,0.359,264038,0.6,03hqMhmCZiNKMSPmVabPLP,1.32e-06,9,0.0952,-7.317,1,0.0398,175.894,4,0.195
78,0.0308,0.601,407293,0.666,03HwmxQ8w8gH1qU6BlmDrK,0.833,5,0.697,-10.23,0,0.073,138.117,4,0.544
79,0.000176,0.554,209703,0.938,03HyPRDdAwvkovBE6XubBC,2.9e-06,11,0.147,-4.901,0,0.0532,96.5,4,0.4
80,0.00219,0.709,260234,0.857,03iCbZaM4OkRR4We6wIzvx,0.0,9,0.103,-3.394,1,0.0881,126.038,4,0.446
81,0.0656,0.848,370440,0.421,03It1uO69CjGWP3yyVe465,0.00151,10,0.136,-8.025,0,0.0648,141.01,4,0.212
82,0.363,0.697,210627,0.557,03LwiBoHVSGClo2Y5ZjJJg,0.00521,8,0.103,-6.436,1,0.0329,101.997,4,0.463
83,0.116,0.612,213880,0.856,03MQ8XJZyvetyCMfTPV39m,3.35e-05,9,0.647,-3.273,1,0.0479,112.94,4,0.681
84,0.48,0.557,141642,0.312,03Mradtcg4Il4gUQJ9LC9V,3.95e-05,9,0.124,-15.003,1,0.277,89.484,5,0.0748
85,0.416,0.653,211992,0.797,03PDOt4cRKQgpYfA9I9wnC,0.0,11,0.177,-4.489,1,0.0391,128.215,4,0.71
86,0.279,0.764,194560,0.868,03Pg5wDlaYAZlTNLeAfl2r,0.0,10,0.175,-5.827,1,0.0505,131.031,4,0.754
87,0.00179,0.432,340523,0.953,03pULHXZB4klVSLJsHh7h4,0.0,1,0.296,-3.856,1,0.387,175.023,4,0.18
88,0.406,0.675,238053,0.694,03r78ioj3w0rX7Db7sLUVq,0.0,6,0.106,-6.064,1,0.39,106.939,4,0.719
89,0.00913,0.705,172800,0.994,03s2ou9qdMcOnrmX4vaLUn,0.0,11,0.168,-2.398,0,0.266,150.049,4,0.539
90,0.336,0.687,167813,0.481,03t3IRKAyXPGeAWCidF03q,0.0,1,0.127,-7.014,1,0.302,114.947,4,0.497
91,0.28,0.643,497299,0.669,03tyyOcWAjmBB6XjdxF0w3,8.39e-05,9,0.0282,-9.209,1,0.121,108.36,4,0.711
92,0.792,0.49,169587,0.473,03vyB3AHCuEGfhh7wPc7Yf,0.0,5,0.113,-8.887,1,0.129,171.535,4,0.603
93,0.15,0.65,205457,0.495,03X3YEhpBI3Yl651OdqOCr,0.0,6,0.0903,-6.86,1,0.321,101.033,3,0.652
94,0.00129,0.462,223067,0.957,03YoRDLmG333y0ORu2D5A4,0.00203,10,0.314,-3.304,1,0.131,165.112,4,0.498
95,0.24,0.726,255000,0.58,03Z4mIhCTYhlT1v7mkBJjg,0.0,4,0.291,-7.607,0,0.295,175.907,4,0.868
96,0.455,0.674,234056,0.615,03ZkvqZOANKndGXfAAPywG,0.00091,0,0.208,-8.188,1,0.147,85.048,4,0.756
97,0.122,0.763,243227,0.794,03ZtlmARAMWhAgZSIs6Fes,2.86e-06,11,0.327,-6.078,1,0.0364,99.999,4,0.65
98,0.0347,0.822,150000,0.622,042nVrQvpEVrsrW6yeeHB2,0.0181,8,0.114,-7.33,1,0.314,160.066,4,0.18
99,0.227,0.792,199733,0.678,042SU58HqnUp6dPoiRJ3xO,0.000676,0,0.19,-5.792,1,0.126,147.003,4,0.694
100,0.0933,0.713,196307,0.733,042x9bsUBWW2fJgJ6fUh61,2.23e-05,6,0.237,-6.431,1,0.152,108.992,4,0.502
101,0.623,0.752,233280,0.543,044qU7kwVZaDwzWnRsmVVL,0.0706,1,0.107,-9.483,1,0.0398,126.001,4,0.282
102,0.0244,0.553,206573,0.747,045SnNDjOfOLKM5OxARH4g,0.0,9,0.363,-5.905,1,0.0292,73.033,4,0.711
103,0.159,0.671,184106,0.612,049Gol3HThYrMKwaA063O8,0.000397,1,0.0865,-6.609,1,0.0819,131.915,4,0.72
104,0.537,0.416,355184,0.411,049vXERjilfrN8WoXG8zPt,0.0109,11,0.11,-8.653,0,0.0357,119.36,4,0.0957
105,0.0385,0.533,207587,0.638,04cB1RXKfacmrsunSXTepQ,0.000932,10,0.0758,-9.411,1,0.0636,135.056,4,0.324
106,0.175,0.823,186316,0.731,04cd1MHVq1D8v1nuTZoCdv,0.0,11,0.131,-3.399,0,0.103,152.024,4,0.952
107,0.0178,0.595,218447,0.662,04CttTezSnv71USiiG9mIo,0.0,11,0.0804,-6.858,0,0.0362,96.053,4,0.417
108,0.0128,0.382,234867,0.675,04CyO54TZk5tEylFg2Df41,0.000246,0,0.219,-6.56,1,0.0441,106.171,1,0.449
109,0.0145,0.684,175231,0.859,04dNBM7zkRT00to5FrLzru,0.0,1,0.291,-4.336,1,0.0859,109.976,4,0.567
110,0.0592,0.49,195840,0.485,04DwTuZ2VBdJCCC5TROn7L,0.0,4,0.337,-6.237,0,0.0406,133.889,4,0.196
111,0.0359,0.716,228856,0.657,04EDShdWyBr2aJPqjFjKAQ,0.000351,11,0.0817,-5.877,0,0.0881,124.996,4,0.433
112,0.908,0.438,281443,0.256,04ERSbcuw46qrZGw7Mx5Sf,3.83e-06,8,0.0742,-10.622,0,0.0345,115.982,4,0.132
113,0.891,0.503,215480,0.307,04f3ea1BQlVrhhmxS0qMDH,0.0269,3,0.0378,-10.117,1,0.0543,78.709,3,0.388
114,0.634,0.722,325840,0.771,04h2uFDF3Ewr7orA6EDbQ3,1.75e-06,11,0.312,-5.5,1,0.32,93.526,4,0.347
115,0.309,0.57,184305,0.727,04hKEdR7G9CL9Y8nrx8oYd,0.0,9,0.292,-5.936,0,0.115,117.163,4,0.325
116,0.0339,0.888,183532,0.489,04iHyjuODvU57m4c5MdFv5,0.0,9,0.0704,-8.243,1,0.206,139.069,4,0.191
117,0.0767,0.796,199849,0.606,04JL2liXXV9B9coeGuUsPw,2.99e-06,5,0.0863,-5.254,0,0.0657,110.007,4,0.42
118,0.0998,0.678,176360,0.703,04l3E863ELqLGA0PFG7XrF,0.0,5,0.121,-6.97,1,0.0442,110.022,4,0.472
119,0.000244,0.353,320520,0.987,04lIJwNlGIxS0cCMmxCsEX,0.000453,3,0.178,-4.441,1,0.205,110.175,4,0.0437
